Customer_ID,First_Name,Last_Name,Category,Loyalty_Program,Age,Purchase_Amount,City,Phone_Number,Email
201,Alice,Brown,Electronics,Yes,28,300,New York,555-0001,alice.brown@example.com
202,Bob,Smith,Grocery,No,34,150,Los Angeles,555-0002,bob.smith@example.com
203,Carol,Johnson,Fashion,Yes,22,400,Chicago,555-0003,carol.johnson@example.com
204,David,Lee,Electronics,No,30,250,Houston,555-0004,david.lee@example.com
205,Eve,Davis,Grocery,Yes,40,100,Phoenix,555-0005,eve.davis@example.com
206,Frank,White,Fashion,Yes,29,350,San Antonio,555-0006,frank.white@example.com
207,Grace,Harris,Electronics,Yes,33,500,San Diego,555-0007,grace.harris@example.com
208,Henry,Martin,Grocery,No,45,80,Dallas,555-0008,henry.martin@example.com
209,Irene,Wilson,Fashion,Yes,27,600,San Jose,555-0009,irene.wilson@example.com
210,Jack,Moore,Electronics,No,39,150,Austin,555-0010,jack.moore@example.com
211,Karen,Taylor,Grocery,Yes,31,120,Jacksonville,555-0011,karen.taylor@example.com
212,Louis,Anderson,Electronics,Yes,26,220,Fort Worth,555-0012,louis.anderson@example.com
213,Mia,Thomas,Fashion,No,24,450,Columbus,555-0013,mia.thomas@example.com
214,Nathan,Jackson,Grocery,Yes,36,200,Charlotte,555-0014,nathan.jackson@example.com
215,Olivia,White,Electronics,Yes,38,330,Detroit,555-0015,olivia.white@example.com
216,Paul,Harris,Fashion,No,42,390,El Paso,555-0016,paul.harris@example.com
217,Quinn,Lewis,Grocery,Yes,35,175,Boston,555-0017,quinn.lewis@example.com
218,Rachel,Walker,Electronics,Yes,32,280,Denver,555-0018,rachel.walker@example.com
219,Steve,Hall,Fashion,No,29,450,Nashville,555-0019,steve.hall@example.com
220,Tina,Allen,Grocery,No,41,130,Baltimore,555-0020,tina.allen@example.com
