Student Name,Score,Subject,Class Participation (%),Attendance (%),Remarks
Alice,85,Mathematics,90,95,Good Effort
Bob,90,Mathematics,85,88,Excellent
Charlie,78,Mathematics,75,88,Needs Improvement
Diana,92,Mathematics,95,97,Outstanding
Edward,88,Mathematics,88,94,Good
Fiona,81,Mathematics,80,90,Satisfactory
George,76,Mathematics,70,85,Below Expectations
Hannah,95,Mathematics,98,99,Exceptional
Isaac,84,Mathematics,83,92,Good
Julia,89,Mathematics,87,96,Very Good
Kevin,91,Mathematics,90,97,Excellent
Laura,77,Mathematics,78,86,Needs Improvement
Michael,82,Mathematics,85,89,Good
Nina,87,Mathematics,92,95,Very Good
Oliver,93,Mathematics,94,98,Outstanding
Paula,79,Mathematics,76,88,Below Expectations
Quinn,80,Mathematics,82,91,Satisfactory
Rachel,94,Mathematics,97,99,Exceptional
Samuel,86,Mathematics,88,94,Very Good
Tina,88,Mathematics,85,95,Good
