Name,Value,Category,Date,Growth Rate (%),Ratio to Max,Cumulative
Alice,3.5,Sales,1/1/2025,5.6,45.45%,3.5
Bob,4.2,Marketing,1/2/2025,8.2,54.55%,14.7
Charlie,2.8,Operations,1/3/2025,2.3,36.36%,41.16
Diana,5.6,Sales,1/4/2025,9.5,72.73%,230.5
Edward,6.3,Marketing,1/5/2025,7.8,81.82%,1452.15
Fiona,7.2,Operations,1/6/2025,6.1,93.94%,10457.48
George,3.9,Sales,1/7/2025,5.4,50.00%,40783.17
Hannah,8.4,Marketing,1/8/2025,10.2,100.00%,342577.03
Ian,4.5,Operations,1/9/2025,7.6,53.57%,1541596.63
Julia,5.1,Sales,1/10/2025,6.3,60.71%,7862142.83
Kevin,6.8,Marketing,1/11/2025,8.9,80.95%,53462771.24
Laura,3.2,Operations,1/12/2025,4.5,38.10%,171081668
Michael,4.9,Sales,1/13/2025,7.0,57.14%,839303271.2
Natalie,5.4,Marketing,1/14/2025,5.8,61.90%,4532237665
Oliver,7.6,Operations,1/15/2025,9.2,90.48%,34445605934
Penelope,8.1,Sales,1/16/2025,6.8,96.43%,279011000000
Quentin,3.6,Marketing,1/17/2025,4.9,42.86%,1004440000000
Rachel,4.7,Operations,1/18/2025,7.3,55.95%,4718480000000
Simon,5.3,Sales,1/19/2025,6.0,63.10%,25007800000000
Tessa,6.1,Marketing,1/20/2025,8.4,72.62%,152548000000000
